108906524, Dang Dinh Trang, 09535629127, 1; Xã Xuân Phú; Huyện Phúc Thọ; Thành phố Hà Nội,  Xe máy điện VinFast Klara S, 39900, 9, 359100
1804006148, Pham Van Nong, 09643338604, 37; Xã Tân Lập; Huyện Đan Phượng; Thành phố Hà Nội,  Mũ Bảo Hiểm 1, 151000, 8, 1208000
1757201090, Nguyen Van Duyen, 09776430309, 43; Xã Thạch Hoà; Huyện Thạch Thất; Thành phố Hà Nội,  Xe máy điện VinFast Impes Milky Sky , 8300, 2, 16600
1083606086, Phan Thu Hien, 09594692247, 72; Phường Trung Phụng; Quận Đống Đa; Thành phố Hà Nội,  Bộ 6 Khăn Lau Xe Ô Tô Thấm Nước Nhanh , 43000, 7, 301000
1506160842, Pham Thu Doan, 09128936802, 46; Xã Kim Sơn; Huyện Gia Lâm; Thành phố Hà Nội,  Mũ Bảo Hiểm ¾ Napoli Sh2 Ruby Thời Thượng Nhiều Màu Cá Tính Free Size , 239000, 1, 239000
1655524305, Ho Hanh Dong, 09108506462, 1; Xã Khai Thái; Huyện Phú Xuyên; Thành phố Hà Nội,  Xe Máy Honda Future 125 FI 2020 , 35200, 5, 176000
1598863603, Vuong Thu Nhat, 09847240629, 38; Xã Tiên Phong; Huyện Ba Vì; Thành phố Hà Nội,  Nón bảo hiểm 3, 500000, 9, 4500000
637700710, Bach Duc Loc, 09311034039, 37; Xã Yên Mỹ; Huyện Thanh Trì; Thành phố Hà Nội,  Nón bảo hiểm nguyên đầu , 550000, 1, 550000
1892434440, Ngo Thu Tam, 09338056640, 1; Xã Thủy Xuân Tiên; Huyện Chương Mỹ; Thành phố Hà Nội,  Xe Máy Honda SH 150i Phanh ABS 2020, 114990, 4, 459960
1912821010, Nguyen Chau Lan, 09756987282, 92; Xã Hát Môn; Huyện Phúc Thọ; Thành phố Hà Nội,  Máy Bơm Ô tô, 999000, 9, 8991000
952519480, Do Duc Hong, 09276132159, 82; Xã Quang Trung; Huyện Phú Xuyên; Thành phố Hà Nội,  Xe Máy Honda Vision 2019 Bản Đặc Biệt Smartkey, 35200, 9, 316800
1651795622, Do Duc Linh, 09107587048, 9; Xã Ngọc Hòa; Huyện Chương Mỹ; Thành phố Hà Nội,  Xe Máy Honda SH Mode 125cc 2020 , 73400, 4, 293600
1207914185, Bach Cam Loc, 09104222055, 27; Xã Viên Nội; Huyện Ứng Hòa; Thành phố Hà Nội,  Mũ Bảo Hiểm Chita, 115000, 2, 230000
1250792204, Mac Thu Dung, 09838040919, 87; Phường Mỹ Đình 2; Quận Nam Từ Liêm; Thành phố Hà Nội,  Kem đánh bóng kim loại đa dụng inox, 70900, 6, 425400
347152145, Duong Hoang Duyen, 09499360502, 40; Xã Văn Võ; Huyện Chương Mỹ; Thành phố Hà Nội,  Mũ bảo hiểm 3, 269000, 9, 2421000
2020515763, Hoang Huu Cong, 09174314694, 87; Xã Đại Thịnh; Huyện Mê Linh; Thành phố Hà Nội,  Xe Máy Honda SH 125i Phanh CBS 2020, 86600, 2, 173200
649518730, Ho Thi Tam, 09128892888, 34; Xã Đông Hội; Huyện Đông Anh; Thành phố Hà Nội,  Dung Dịch Tẩy Keo, 145000, 6, 870000
801917409, Nguyen Huu Doan, 09333804768, 46; Phường Quang Trung; Quận Hà Đông; Thành phố Hà Nội,  Mũ Bảo Hiểm 3, 219000, 9, 1971000
218524491, Vuong Chau Loan, 09790333732, 39; Xã Thắng Lợi; Huyện Thường Tín; Thành phố Hà Nội,  Combo Mũ Bảo Hiểm 3, 242000, 6, 1452000
544083867, Trinh Duc Loc, 09587960410, 27; Xã Cao Viên; Huyện Thanh Oai; Thành phố Hà Nội,  Bơm xe đạp, 60000, 4, 240000
432183743, Vuong Hoang Nghi, 09862479392, 15; Xã Hòa Xá; Huyện Ứng Hòa; Thành phố Hà Nội,  Xe Máy Honda Vision 2019 Bản Cao Cấp Smartkey, 34700, 8, 277600
922474447, Pham Duc Thuong, 09789154925, 35; Phường Phố Huế; Quận Hai Bà Trưng; Thành phố Hà Nội,  Xe Máy Wave Alpha 110cc 2020, 18600, 7, 130200
1343583036, Nguyen Cam Tuyet, 09459357081, 70; Xã Thanh Thùy; Huyện Thanh Oai; Thành phố Hà Nội,  Đệm Giường Hơi Ô Tô Cao Cấp, 329000, 9, 2961000
809537847, Do Dai Loan, 09253490201, 65; Xã Đức Hoà; Huyện Sóc Sơn; Thành phố Hà Nội,  Xe Máy Honda SH 150i Phanh CBS 2020, 104000, 9, 936000
1593690784, Le Duc Lan, 09207311905, 55; Phường Bồ Đề; Quận Long Biên; Thành phố Hà Nội,  Chai Xịt Chăm Sóc Da, 134000, 6, 804000
1744961304, Kha Cam Tam, 09064748582, 76; Phường Phương Liên; Quận Đống Đa; Thành phố Hà Nội,  Mũ Bảo Hiểm Chita, 189000, 6, 1134000
1527952896, Hoang Chau Dong, 09462896070, 31; Xã Cam Thượng; Huyện Ba Vì; Thành phố Hà Nội,  Keo Siêu Dính 3M Pr100 , 115900, 1, 115900
694872246, Nguyen Dai Phuong, 09772645202, 48; Xã Ngũ Hiệp; Huyện Thanh Trì; Thành phố Hà Nội,  Nước rửa xe đậm đặc Sonax Gloss Shampoo 314300 1L, 150000, 9, 1350000
701766136, Le Huu Linh, 09451037886, 57; Phường Yết Kiêu; Quận Hà Đông; Thành phố Hà Nội,  Xe Máy Honda SH 150i Phanh ABS 2020, 113600, 4, 454400
603258428, Bui Hanh Thuong, 09097597853, 29; Phường Thanh Trì; Quận Hoàng Mai; Thành phố Hà Nội,  Băng keo cường lực 3M siêu dính 4229P, 74700, 3, 224100
694101909, Le Cam Hue, 09937874190, 48; Xã Tiên Phong; Huyện Ba Vì; Thành phố Hà Nội,  Cảm Biến Áp Suất Lốp Ô Tô Van Ngoài CAR365TMS01 Chính Hãng, 399000, 9, 3591000
639614059, Le Dinh Nghi, 09843713809, 29; Xã Yên Mỹ; Huyện Thanh Trì; Thành phố Hà Nội,  Mũ Bảo Hiểm Royal M139 Kính Âm, 456000, 7, 3192000
1837836378, Dang Cam Loan, 09243712202, 46; Xã Tàm Xá; Huyện Đông Anh; Thành phố Hà Nội,  Nhớt Motul 300V Factory Line Road Racing 10W40 12x1 , 418000, 1, 418000
1258710245, An Xuan Loc, 09741711170, 66; Xã Ngọc Liệp; Huyện Quốc Oai; Thành phố Hà Nội,  Xe máy Honda Wave Alpha 2019 , 18880, 4, 75520
281681118, Chu Thi Nghi, 09166219648, 97; Xã Mỹ Thành; Huyện Mỹ Đức; Thành phố Hà Nội,  Mỡ Bò Nước Dạng Xịt Bôi Trơn Chịu Nhiệt Wurth Hhs 2000 , 169700, 8, 1357600
1160592238, Trinh Chau Hue, 09297564637, 54; Xã Dương Liễu; Huyện Hoài Đức; Thành phố Hà Nội,  Bạt trùm xe máy, 97000, 9, 873000
479778365, Do Thu Tuyet, 09170608539, 98; Phường Gia Thụy; Quận Long Biên; Thành phố Hà Nội,  Xe máy Honda Lead Tiêu Chuẩn 2019, 39080, 4, 156320
1981369717, Kha Cam Tam, 09155498385, 79; Phường Quỳnh Lôi; Quận Hai Bà Trưng; Thành phố Hà Nội,  Bóng Đèn tín hiệu định vị, 173500, 2, 347000
1999403237, Chu Dinh Dung, 09034636334, 44; Xã Tốt Động; Huyện Chương Mỹ; Thành phố Hà Nội,  Ví Da Đựng Giấy Tờ Ô Tô Theo Hãng Xe, 28500, 4, 114000
146096003, Do Dai Trang, 09258902476, 40; Xã Vạn Phúc; Huyện Thanh Trì; Thành phố Hà Nội,  Xe Máy Yamaha XSR 155 nhập khẩu Indonesia , 82200, 5, 411000
861713900, Tran Xuan Si, 09338510876, 68; Xã Tiên Phong; Huyện Ba Vì; Thành phố Hà Nội,  Máy Bơm Xe Đạp, 98999, 3, 296997
195801932, AnhDinh Nhi, 09041135934, 97; Xã Phù Đổng; Huyện Gia Lâm; Thành phố Hà Nội,  Mũ Bảo Hiểm Đẹp Fullface AGU Tem 14 , 351000, 1, 351000
898123920, Phan Dinh Phuong, 09356599076, 3; Xã Tân Tiến; Huyện Chương Mỹ; Thành phố Hà Nội,  Xe máy Honda Lead Cao Cấp 2019 , 44000, 3, 132000
106168677, Trinh Van Thuong, 09506508122, 21; Phường Bồ Đề; Quận Long Biên; Thành phố Hà Nội,  Xe Máy Honda Winner X , 43140, 6, 258840
1965527329, Mac Hanh Phuc, 09427403280, 8; Xã Minh Phú; Huyện Sóc Sơn; Thành phố Hà Nội,  Xe Máy Honda Vario 125 , 43800, 3, 131400
2024360349, Ngo Chau Cong, 09349274252, 11; Xã An Khánh; Huyện Hoài Đức; Thành phố Hà Nội,  Bơm lốp ô tô xiaomi 70mai midrive TP03 , 615000, 4, 2460000
840966222, Ho Xuan Doan, 09608922318, 2; Phường Đồng Mai; Quận Hà Đông; Thành phố Hà Nội,  Bộ 2 Đèn LED Van Xe Đạp, 26900, 3, 80700
1529412247, Vuong Thu Tho, 09451757169, 41; Xã Kim Sơn; Huyện Gia Lâm; Thành phố Hà Nội,  Bộ 2 đèn LED gắn van bánh xe đạp, 40000, 8, 320000
1599864386, Phan Hoang Si, 09379867048, 63; Xã Vật Lại; Huyện Ba Vì; Thành phố Hà Nội,  Nón bảo hiểm 3, 517300, 4, 2069200
277991415, Ho Xuan Dong, 09852199606, 27; Phường Hàng Buồm; Quận Hoàn Kiếm; Thành phố Hà Nội,  Xe Máy Honda Vision 2019 Bản Thường, 32800, 4, 131200
1424779680, Ly Xuan Nghi, 09893148967, 46; Phường Phương Canh; Quận Nam Từ Liêm; Thành phố Hà Nội,  Mũ bảo hiểm chính hãng NÓN SƠN A, 360000, 7, 2520000
1829417710, Dang Hoang Thuong, 09221509040, 16; Thị trấn Quốc Oai; Huyện Quốc Oai; Thành phố Hà Nội,  Bơm Đa Năng Điện Tử Xiaomi Portable Electric Air Compressor DZN4006GL , 868500, 1, 868500
1500077871, Trinh Hanh Duyen, 09113032175, 28; Xã Dương Xá; Huyện Gia Lâm; Thành phố Hà Nội,  Xe máy Honda Air Blade , 40590, 6, 243540
350762117, Do Thu Tho, 09217241657, 51; Xã Bích Hòa; Huyện Thanh Oai; Thành phố Hà Nội,  Máy Sạc Bình Ắc Quy Tự Động Cho Xe Máy , 72900, 8, 583200
416289404, Pham Hoang Hue, 09736479722, 45; Phường Khương Đình; Quận Thanh Xuân; Thành phố Hà Nội,  Túi treo đầu xe máy mẫu đứng vải bố, 89000, 1, 89000
74291102, Hoa Hoang Hong, 09215650034, 35; Xã Khai Thái; Huyện Phú Xuyên; Thành phố Hà Nội,  Bộ sạc điện thoại gắn trực tiếp cho xe máy, 49000, 6, 294000
922552407, Hoang Thu Dung, 09589506083, 61; Xã Hùng Tiến; Huyện Mỹ Đức; Thành phố Hà Nội,  Đèn pha xe đạp siêu sáng cảm biến thông minh, 179000, 7, 1253000
506373109, Diep Chau Loc, 09058550738, 86; Xã Thanh Thùy; Huyện Thanh Oai; Thành phố Hà Nội,  Giá Đỡ Điện Thoại Trên Ô TÔ One , 39000, 2, 78000
135149902, Kha Dinh Nhat, 09776911908, 48; Phường Hàng Bạc; Quận Hoàn Kiếm; Thành phố Hà Nội,  Mũ Bảo Hiểm 3, 295000, 9, 2655000
1574188035, Chu Van Hong, 09370692177, 28; Phường Giảng Võ; Quận Ba Đình; Thành phố Hà Nội,  Mũ Bảo Hiểm Nửa Đầu Đen Trơn, 103000, 9, 927000
379773205, Do Dinh Trang, 09715884565, 1; Phường Trần Hưng Đạo; Quận Hoàn Kiếm; Thành phố Hà Nội,  Bộ bao tay Spider Gel có gù dành cho xe máy, 68000, 6, 408000
526857551, Hoang Thi Si, 09838752450, 70; Xã Liên Trung; Huyện Đan Phượng; Thành phố Hà Nội,  Mũ Bảo Hiểm Đôi Đẹp không họa tiết_ Fullface AGU Trơn 01, 389000, 5, 1945000
819783076, Phan Hoang Hue, 09721349419, 7; Xã Liên Bạt; Huyện Ứng Hòa; Thành phố Hà Nội,  Bộ 2 Gương Lồi Tràn Viền Xoay 360 độ Gắn Cho Kính Gương Chiếu Hậu Tránh Điểm Mù Cho Xe Hơi, 99000, 5, 495000
1986562827, Trinh Thi Lan, 09221620229, 80; Xã Ngọc Hòa; Huyện Chương Mỹ; Thành phố Hà Nội,  Xe máy Honda Air Blade 2020 , 54300, 7, 380100
1233173480, Hoa Cam Hien, 09614031277, 53; Phường Phú Đô; Quận Nam Từ Liêm; Thành phố Hà Nội,  Mũ Bảo Hiểm 3, 500000, 9, 4500000
582001163, Hoang Xuan Cong, 09760102519, 6; Phường Ngọc Khánh; Quận Ba Đình; Thành phố Hà Nội,  Combo Bộ Gối Tựa Đầu Và Tựa Lưng Ô Tô Cao Su Non Cao Cấp , 95500, 7, 668500
2053018103, An Dai Dong, 09206874924, 91; Phường Hàng Bột; Quận Đống Đa; Thành phố Hà Nội,  Bơm MICHELIN 4398ml 12266 bơm ô tô, 1044, 4, 4176
1455500772, Pham Xuan Hung, 09289606409, 96; Phường Hàng Gai; Quận Hoàn Kiếm; Thành phố Hà Nội,  Nước Rửa Kính Ô Tô Focar Screen Wash , 115000, 4, 460000
615252027, An Chau Dong, 09639952130, 79; Phường Kim Mã; Quận Ba Đình; Thành phố Hà Nội,  Xịt Dưỡng Sên VOLTRONIC IX50 , 293100, 9, 2637900
407057484, Phan Hoang Doan, 09458573389, 60; Xã Đồng Quang; Huyện Quốc Oai; Thành phố Hà Nội,  Bộ Combo Vệ Sinh Dưỡng Sên Xe Máy Thunder , 125000, 5, 625000
1679717893, Ngo Huu Phuong, 09603361870, 32; Xã Phù Lưu Tế; Huyện Mỹ Đức; Thành phố Hà Nội,  Mũ bảo hiểm 3, 295000, 5, 1475000
198604189, Trinh Cam Hien, 09300454249, 31; Xã Trung Mầu; Huyện Gia Lâm; Thành phố Hà Nội,  Nhớt Xe Tay Ga Motul Scooter Power Le 4t 5w40 20x0, 171900, 9, 1547100
751017085, An Thu Duyen, 09816393346, 69; Phường Thụy Khuê; Quận Tây Hồ; Thành phố Hà Nội,  Xe máy Honda Lead Tiêu Chuẩn 2019, 40900, 1, 40900
1582754176, Pham Chau Lan, 09722928124, 53; Xã Dương Liễu; Huyện Hoài Đức; Thành phố Hà Nội,  Xe Máy Nhập Khẩu Yamaha R15 v3 , 73000, 7, 511000
469500643, Bach Van Nhi, 09772372537, 45; Phường Định Công; Quận Hoàng Mai; Thành phố Hà Nội,  Bạt trùm xe máy vải dù loại siêu dày chất lượng cao, 125000, 6, 750000
1042387823, Hoa Hanh Si, 09640358509, 20; Phường Phương Liên; Quận Đống Đa; Thành phố Hà Nội,  Mũ Bảo Hiểm Royal 3, 500000, 9, 4500000
240548935, Ho Thu Hue, 09490120063, 80; Xã Liên Hà; Huyện Đan Phượng; Thành phố Hà Nội,  CÒI NGÂN 12 TIẾNG , 95000, 9, 855000
1341726891, Hoang Duc Doan, 09873100503, 79; Xã Bình Yên; Huyện Thạch Thất; Thành phố Hà Nội,  Đèn Pha Led Bi Cầu 2 Màu Cos Vàng Pha Trắng, 140000, 1, 140000
1825563537, Vu Dinh Loc, 09791035948, 7; Xã Trầm Lộng; Huyện Ứng Hòa; Thành phố Hà Nội,  Xe Máy Honda SH 125i Phanh CBS 2020, 84700, 4, 338800
1147501670, Hoa Cam Nhat, 09903033794, 6; Xã Tri Trung; Huyện Phú Xuyên; Thành phố Hà Nội,  Dụng cụ đi tiểu khi đi ô tô , 88000, 9, 792000
1657417630, Ngo Dai Linh, 09420659561, 24; Xã Cẩm Đình; Huyện Phúc Thọ; Thành phố Hà Nội,  Nước rửa xe bọt tuyết Car Shampoo 5L cho ô tô xe máy AUTOPRO, 120000, 1, 120000
1207722173, Le Hanh Hue, 09273392444, 13; Phường Phú Diễn; Quận Bắc Từ Liêm; Thành phố Hà Nội,  Bộ 4 miếng dán chống đọng nước kính hông và gương chiếu hậu ô tô, 190000, 9, 1710000
171130167, Pham Hoang Phuong, 09329543949, 83; Xã Cam Thượng; Huyện Ba Vì; Thành phố Hà Nội,  Móc treo đồ xe máy biker Thái Lan titan vuông xi , 27000, 5, 135000
704113436, Ngo Hoang Si, 09907272905, 47; Xã Vạn Yên; Huyện Mê Linh; Thành phố Hà Nội,  Bảng Số Điện Thoại, 45000, 4, 180000
1399623882, Dang Huu Nong, 09362125391, 54; Xã Cao Dương; Huyện Thanh Oai; Thành phố Hà Nội,  Bạt Phủ Ô Tô 4 Chỗ , 419999, 8, 3359992
2090199183, Le Xuan Nghi, 09527919636, 94; Xã Hòa Lâm; Huyện Ứng Hòa; Thành phố Hà Nội,  Combo 2, 21000, 8, 168000
1440171055, Hoa Duc Thuong, 09727410064, 84; Xã Đan Phượng; Huyện Đan Phượng; Thành phố Hà Nội,  Gối Tựa Đầu AM01 Trên Xe Hơi , 119000, 4, 476000
666736048, Ngo Cam Nhi, 09472179568, 63; Xã Vân Côn; Huyện Hoài Đức; Thành phố Hà Nội,  Bơm đạp chân đa năng 2 xi lanh ROCKBROS dùng cho ô tô, 279000, 9, 2511000
263088690, Do Dai Tho, 09159916210, 16; Xã Đỗ Động; Huyện Thanh Oai; Thành phố Hà Nội,  ĐÈN HẬU NHÁY XE MÁY 33 TIM , 39000, 5, 195000
62783657, AnhDuc Hung, 09976820643, 98; Xã Phùng Xá; Huyện Mỹ Đức; Thành phố Hà Nội,  Sạc Điện Thoại Trên Xe Máy, 45000, 3, 135000
790452522, Hoa Xuan Phuc, 09485129738, 21; Xã Tam Hiệp; Huyện Thanh Trì; Thành phố Hà Nội,  Găng tay phượt Blackhawk dài ngón găng tay bảo hộ xe máy, 119000, 9, 1071000
801696912, Ho Cam Thuong, 09874163855, 12; Xã Hạ Mỗ; Huyện Đan Phượng; Thành phố Hà Nội,  Pô móc và pat pô Spark xe Sirius, 199000, 1, 199000
807598706, Duong Dinh Tam, 09856252691, 52; Xã Hồng Hà; Huyện Đan Phượng; Thành phố Hà Nội,  Dung Dịch Chống Bám Nước Trên Kính Xe 3M Glass Coat Windshield 3M 08889 , 153500, 3, 460500
1214802702, Pham Huu Nghi, 09269446074, 35; Xã Bạch Hạ; Huyện Phú Xuyên; Thành phố Hà Nội,  Mũ Bảo Hiểm 3, 115000, 3, 345000
1061980485, Trinh Hoang Hong, 09022690355, 4; Phường Quảng An; Quận Tây Hồ; Thành phố Hà Nội,  Bộ Dụng Cụ Chăm Sóc Vệ Sinh Cọ Rửa Bánh Xe Ô Tô Đa Năng, 55000, 8, 440000
969421178, Ngo Hanh Hue, 09060413029, 80; Phường Hoàng Văn Thụ; Quận Hoàng Mai; Thành phố Hà Nội,  Bơm xe máy, 139000, 6, 834000
103308857, Diep Dai Loan, 09543643191, 27; Phường Tây Tựu; Quận Bắc Từ Liêm; Thành phố Hà Nội,  Bộ dây vòi xịt nước rửa xe, 71000, 9, 639000
1145172823, Diep Huu Lan, 09259177411, 2; Xã Đình Xuyên; Huyện Gia Lâm; Thành phố Hà Nội,  Bọc khóa Smartkey Honda Lead, 45000, 9, 405000
1171191747, Mac Huu Si, 09749313879, 90; Xã Đông Lỗ; Huyện Ứng Hòa; Thành phố Hà Nội,  Mũ Bảo Hiểm Andes Nửa Đầu Kính Giấu 3S139 Bóng, 303300, 3, 909900
384583427, Bach Duc Duyen, 09008682385, 40; Phường Yết Kiêu; Quận Hà Đông; Thành phố Hà Nội,  Bơm Đạp Chân 2 Nòng Xilanh 6 Bar 160 PSI Siêu Bơm Chất Lượng Cao Cho Xe Đạp, 289000, 5, 1445000
1915363766, Mac Dinh Hung, 09852836787, 31; Phường Lê Lợi; Thị xã Sơn Tây; Thành phố Hà Nội,  Xe Máy Honda Future 125 FI 2020 , 31590, 2, 63180
738946632, Duong Thi Hue, 09970372351, 3; Phường Lĩnh Nam; Quận Hoàng Mai; Thành phố Hà Nội,  KHÓA ĐĨA CAO CẤP HÚ BÁO ĐỘNG CHỐNG TRỘM DÀNH CHO XE MÁY, 217000, 7, 1519000
578113423, Ho Cam Nong, 09164354873, 35; Phường Phương Mai; Quận Đống Đa; Thành phố Hà Nội,  Đèn LED Trợ Sáng Xe Máy L4X , 171000, 3, 513000
1136281333, Mac Thu Thuong, 09457078993, 41; Xã Thuỵ Lâm; Huyện Đông Anh; Thành phố Hà Nội,  Combo Xịt Dưỡng sên Thunder Chain Lube 400ml, 125000, 9, 1125000
2055774607, Hoa Thu Linh, 09555606269, 90; Phường Trung Tự; Quận Đống Đa; Thành phố Hà Nội,  Xe Máy Honda Vario 125 , 43500, 9, 391500
539423266, Nguyen Cam Hung, 09553867360, 52; Xã Phú Đông; Huyện Ba Vì; Thành phố Hà Nội,  Xe Máy Honda Vario 150 , 55100, 2, 110200
1558357675, Ho Hanh Loan, 09087652400, 49; Phường Vĩnh Tuy; Quận Hai Bà Trưng; Thành phố Hà Nội,  Tẩu sạc ô tô kiêm nghe nhạc MP3, 130000, 6, 780000
606884913, Vu Huu Duyen, 09946832362, 23; Phường Hàng Buồm; Quận Hoàn Kiếm; Thành phố Hà Nội,  Mũ Bảo Hiểm 3, 469000, 2, 938000
1514893188, Vu Hoang Hong, 09496546425, 93; Xã Nam Sơn; Huyện Sóc Sơn; Thành phố Hà Nội,  Xe máy Honda Air Blade , 43890, 1, 43890
243691884, Duong Cam Phuong, 09771210890, 9; Phường Nghĩa Đô; Quận Cầu Giấy; Thành phố Hà Nội,  Máy sạc bình ắc quy 12V 100Ah thông minh tự ngắt khi đầy có chức năng khử sunfat bảo dưỡng phục hồi , 229000, 1, 229000
478179559, Ly Van Si, 09582206361, 8; Phường Long Biên; Quận Long Biên; Thành phố Hà Nội,  Mũ bảo hiểm chính hãng NÓN SƠN DN, 300000, 5, 1500000
880041039, AnhChau Nhat, 09003390433, 53; Xã Nam Triều; Huyện Phú Xuyên; Thành phố Hà Nội,  Xe máy Yamaha Grande Hybrid Premium , 46900, 4, 187600
1129865584, Chu Thu Nghi, 09381131581, 75; Xã Liên Phương; Huyện Thường Tín; Thành phố Hà Nội,  Chai Xịt Chống Chuột , 149000, 3, 447000
1600463514, Mac Dai Trang, 09544967210, 31; Phường Quang Trung; Thị xã Sơn Tây; Thành phố Hà Nội,  Mũ Bảo Hiểm 3, 104000, 1, 104000
1757601123, Kha Hoang Nhat, 09639104118, 94; Phường Trần Hưng Đạo; Quận Hoàn Kiếm; Thành phố Hà Nội,  Khăn Lau Xe Ô Tô Đa Năng Siêu Thấm, 28000, 6, 168000
1364509776, Chu Xuan Linh, 09770745307, 11; Xã Tòng Bạt; Huyện Ba Vì; Thành phố Hà Nội,  Bơm lốp ô tô xe máy xe đạp đạp chân ROCK, 298000, 2, 596000
337938919, Trinh Hanh Doan, 09027995208, 10; Xã Sơn Đà; Huyện Ba Vì; Thành phố Hà Nội,  Sạc Ô Tô, 208000, 3, 624000
1792648965, AnhXuan Hung, 09563020747, 29; Xã Vân Từ; Huyện Phú Xuyên; Thành phố Hà Nội,  Túi Da Xịn Đựng Đăng Kiểm, 37000, 3, 111000
2003070992, Vuong Hanh Dong, 09757889078, 33; Phường Trương Định; Quận Hai Bà Trưng; Thành phố Hà Nội,  Mũ Bảo Hiểm Royal Fullface M136 , 520000, 3, 1560000
1660512172, Ly Thu Nhi, 09673221533, 48; Xã Phụng Châu; Huyện Chương Mỹ; Thành phố Hà Nội,  1 KG Bi Sắt 7mm Ổ Trục Sau Xe Đạp, 42990, 8, 343920
1678082039, Chu Thu Phuc, 09808693374, 100; Xã Thanh Liệt; Huyện Thanh Trì; Thành phố Hà Nội,  Bảng số điện thoại gắn taplo xe hơi, 350000, 3, 1050000
622093422, Do Hanh Doan, 09964202957, 94; Xã Hoàng Diệu; Huyện Chương Mỹ; Thành phố Hà Nội,  Bạt Phủ Ô Tô Tráng Bạc Chống Nắng, 299000, 4, 1196000
1573749958, Chu Chau Tam, 09123181389, 55; Phường Đức Thắng; Quận Bắc Từ Liêm; Thành phố Hà Nội,  Bộ 04 Miếng Dán Chống Xước Hõm Tay Nắm Cửa Xe Ô Tô Cao Cấp, 21000, 2, 42000
1606947654, Vuong Dai Lan, 09001330002, 38; Phường Ngô Thì Nhậm; Quận Hai Bà Trưng; Thành phố Hà Nội,  Dung dịch vệ sinh nội thất xe Sonax 321200 500ml, 174000, 2, 348000
1214876106, Duong Duc Nhat, 09985478600, 99; Xã Bắc Phú; Huyện Sóc Sơn; Thành phố Hà Nội,  Xe máy Honda Air Blade 2020 , 44130, 6, 264780
148197866, Vu Huu Hue, 09581093026, 22; Xã Ninh Sở; Huyện Thường Tín; Thành phố Hà Nội,  Máy lọc không khí và khử mùi xe hơi Michelin ML, 1393, 4, 5572
1827986989, Tran Dinh Thuong, 09708198164, 77; Phường Vạn Phúc; Quận Hà Đông; Thành phố Hà Nội,  Cặp Phuộc kiểu 1 Lò Xo Màu dành cho xe Sirius, 292000, 8, 2336000
